
2016-11-17 09:55:21,948 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:55:21,957 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:55:22,677 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:55:22,773 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:55:22,773 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:55:22,774 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:55:23,218 | INFO  | Principal.vb | Insercion Factura con el ID: 9069 - 
2016-11-17 09:55:23,954 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:55:23,994 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:55:24,021 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:55:24,839 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:55:24,891 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:55:24,904 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:55:25,502 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:55:25,578 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:55:25,580 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:55:25,580 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:55:35,938 | INFO  | Principal.vb | Insercion Factura con el ID: 9071 - 
2016-11-17 09:55:42,893 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:55:42,905 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:55:42,931 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:56:12,741 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:56:12,783 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:56:12,794 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:56:20,644 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:56:20,744 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:56:20,744 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:56:20,745 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:56:21,818 | INFO  | Principal.vb | Insercion Factura con el ID: 9072 - 
2016-11-17 09:56:22,602 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:56:22,809 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:56:22,876 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:56:24,067 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:56:24,196 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:56:24,214 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:56:26,816 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:56:26,912 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:56:26,913 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
